full_name,position,current_team,current_age,years_exp,talent_ppg,availability_score,risk_cv,dcf_value,replacement_value,vorp
Russell Wilson,QB,NYG,38,13,17.24,0.69,0.45,28.17,26.38,1.71
Danielle Hunter,DL,HOU,32,10,12.85,0.86,0.78,73.20,71.55,1.53
K.J. Osborn,WR,ATL,29,5,7.82,0.73,0.76,69.69,68.11,1.46
Latavius Murray,RB,BUF,36,10,7.44,0.81,0.63,6.28,4.84,1.35
Nik Bonitto,LB,DEN,27,3,10.87,0.84,0.82,127.18,125.84,1.24
Jarvis Landry,WR,NO,34,8,7.97,0.74,0.60,27.97,26.80,1.10
Marvin Jones,WR,DET,36,11,8.49,0.70,0.64,11.28,10.16,1.05
Will Anderson Jr.,DL,HOU,25,2,11.33,0.85,0.74,363.64,362.53,1.03
Cordarrelle Patterson,RB,PIT,35,11,6.45,0.78,0.94,8.96,7.95,0.91
Duke Johnson,RB,BUF,33,7,6.09,0.54,1.04,14.72,13.86,0.77
Corey Davis,WR,NYJ,31,6,7.71,0.77,0.70,60.77,60.23,0.50
Rex Burkhead,RB,HOU,36,9,6.31,0.86,1.01,5.66,5.14,0.46
Trey Hendrickson,DL,CIN,32,8,12.62,0.78,0.81,65.74,65.41,0.31
Tevin Coleman,RB,SF,33,7,5.77,0.62,0.97,16.00,15.89,0.10
Carlos Hyde,RB,JAX,36,7,5.86,0.79,0.88,4.86,4.76,0.09
Robert Woods,WR,PIT,34,12,7.66,0.76,0.69,27.37,27.29,0.07
Tyler Boyd,WR,TEN,32,8,7.65,0.89,0.64,58.34,58.27,0.07
Ryan Kerrigan,DL,WAS,38,11,4.25,0.72,0.70,0.00,0.00,0.00
Albert Okwuegbunam,TE,LV,28,5,4.86,0.38,0.65,0.00,0.00,0.00
Damon Arnette,DB,HOU,30,5,4.62,0.47,0.57,0.00,0.00,0.00
Trevis Gipson,DL,CAR,29,5,5.91,0.46,1.02,0.00,0.00,0.00
Kindle Vildor,DB,TB,29,5,5.69,0.50,0.76,0.00,0.00,0.00
Jalen Mills,DB,DET,32,9,5.34,0.57,0.81,0.00,0.00,0.00
Cameron McGrone,LB,CLE,26,4,3.69,0.32,0.46,0.00,0.00,0.00
Amani Bledsoe,DL,ATL,28,3,4.45,0.69,0.72,0.00,0.00,0.00
Benito Jones,DL,MIA,29,5,4.37,0.54,0.72,0.00,0.00,0.00
Krys Barnes,LB,CAR,28,5,6.14,0.54,0.77,0.00,0.00,0.00
Forrest Merrill,DL,DEN,30,2,4.30,0.69,0.00,0.00,0.00,0.00
Jahlani Tavai,LB,NE,30,6,5.99,0.78,0.82,0.00,0.00,0.00
Brandin Echols,DB,PIT,29,4,6.56,0.63,0.87,0.00,0.00,0.00
Clelin Ferrell,DL,SF,29,6,6.41,0.61,0.91,0.00,0.00,0.00
Jason Pinnock,DB,SF,27,4,6.46,0.75,1.02,0.00,0.00,0.00
Tyson Campbell,DB,CLE,26,4,8.26,0.82,0.67,0.00,0.00,0.00
Ethan Bonner,DB,MIA,27,2,5.28,0.37,0.91,0.00,0.00,0.00
Jalen Cropper,WR,DAL,25,2,0.00,0.48,,0.00,0.00,0.00
Eku Leota,LB,ARI,27,2,5.15,0.33,1.46,0.00,0.00,0.00
LaBryan Ray,DL,CAR,29,3,3.61,0.52,1.05,0.00,0.00,0.00
Otito Ogbonnia,DL,LAC,26,3,3.73,0.51,0.80,0.00,0.00,0.00
DJ Davidson,DL,NYG,27,3,4.36,0.45,1.34,0.00,0.00,0.00
Ricky Seals-Jones,TE,IND,31,6,5.18,0.82,0.74,0.00,0.00,0.00
Jalin Hyatt,WR,NYG,25,2,5.04,0.52,0.88,0.00,0.00,0.00
Julius Brents,DB,MIA,26,2,6.22,0.43,0.84,0.00,0.00,0.00
Travis Vokolek,TE,ARI,28,2,3.34,0.50,0.00,0.00,0.00,0.00
Kendell Brooks,DB,TEN,26,2,4.81,0.43,0.59,0.00,0.00,0.00
Taysom Hill,QB,NO,36,8,7.35,0.74,0.96,0.00,0.00,0.00
Trae Waynes,DB,CIN,34,6,4.98,0.74,0.75,0.00,0.00,0.00
Trey Washington,DB,IND,24,0,0.00,0.47,,0.00,0.00,0.00
Michael Danna,DL,KC,29,5,6.93,0.67,1.07,0.00,0.00,0.00
Amik Robertson,DB,DET,28,5,7.08,0.78,0.76,0.00,0.00,0.00
L'Jarius Sneed,DB,TEN,29,5,8.67,0.66,0.69,0.00,0.00,0.00
Tajae Sharpe,WR,SF,32,6,4.89,0.85,0.75,0.00,0.00,0.00
Pat Surtain II,DB,DEN,26,4,7.96,0.85,0.76,0.00,0.00,0.00
Rashard Higgins,WR,CLE,32,8,5.90,0.82,0.68,0.00,0.00,0.00
Robert Nkemdiche,DL,SEA,32,5,3.67,0.78,0.63,0.00,0.00,0.00
Jalen Brooks,WR,ARI,26,2,4.56,0.51,0.70,0.00,0.00,0.00
Azeez Ojulari,LB,PHI,26,4,7.79,0.52,0.90,0.00,0.00,0.00
Malik Turner,WR,SF,30,7,5.04,0.40,1.17,0.00,0.00,0.00
John Bates,TE,WAS,29,4,3.43,0.57,0.71,0.00,0.00,0.00
Micah Kiser,LB,LV,31,4,4.23,0.75,1.17,0.00,0.00,0.00
Curtis Robinson,LB,SF,28,4,3.90,0.42,0.84,0.00,0.00,0.00
Davis Mills,QB,HOU,28,4,13.08,0.53,0.73,0.00,0.00,0.00
Tre Brown,DB,NYJ,29,4,5.39,0.47,1.49,0.00,0.00,0.00
Darren Hall,DB,ARI,26,4,4.74,0.47,0.81,0.00,0.00,0.00
Trey Lance,QB,LAC,26,4,10.21,0.42,1.04,0.00,0.00,0.00
A.J. Moore,DB,TEN,31,4,4.54,0.75,0.74,0.00,0.00,0.00
Greg Ward,WR,PHI,31,6,5.22,0.75,0.53,0.00,0.00,0.00
Preston Williams,WR,CAR,29,3,5.24,0.74,1.21,0.00,0.00,0.00
Christian Gonzalez,DB,NE,24,2,7.39,0.73,0.70,0.00,0.00,0.00
Basil Okoye,DL,BAL,25,2,4.64,0.58,0.70,0.00,0.00,0.00
Marquel Lee,LB,BUF,31,5,4.13,0.74,0.78,0.00,0.00,0.00
Zachary Carter,DL,ARI,27,3,3.72,0.50,0.71,0.00,0.00,0.00
Isaiah Likely,TE,BAL,26,3,5.59,0.77,0.83,0.00,0.00,0.00
Josh Rosen,QB,MIN,29,4,10.46,0.72,-0.41,0.00,0.00,0.00
Phidarian Mathis,DL,BUF,28,3,3.96,0.41,0.50,0.00,0.00,0.00
Tyler Huntley,QB,BAL,28,5,12.28,0.44,0.75,0.00,0.00,0.00
Chase Young,LB,NO,27,5,9.05,0.70,0.82,0.00,0.00,0.00
Christian Blake,WR,ARI,30,4,4.55,0.75,0.38,0.00,0.00,0.00
Trevor Nowaske,LB,DET,28,2,5.02,0.50,0.86,0.00,0.00,0.00
Sam Beal,DB,NYG,30,3,5.18,0.68,0.00,0.00,0.00,0.00
Darren Waller,TE,MIA,34,10,8.48,0.64,0.59,0.00,0.00,0.00
Jordan Phillips,DL,BUF,34,10,5.09,0.52,0.91,0.00,0.00,0.00
Jadeveon Clowney,DL,DAL,33,11,9.92,0.74,0.93,0.00,0.00,0.00
Jordan Richards,DB,BAL,33,6,0.00,0.66,,0.00,0.00,0.00
Artavis Pierce,RB,CLE,30,1,0.00,0.65,,0.00,0.00,0.00
Kamal Martin,LB,CAR,28,2,4.33,0.71,0.00,0.00,0.00,0.00
Jay Tufele,DL,NYJ,27,4,3.25,0.41,0.69,0.00,0.00,0.00
Anthony Richardson,QB,IND,24,2,13.70,0.50,0.67,0.00,0.00,0.00
Tyrus Wheat,DL,DET,27,2,4.71,0.42,1.26,0.00,0.00,0.00
Jake Bobo,WR,SEA,28,2,3.77,0.58,1.00,0.00,0.00,0.00
Emmanuel Ogbah,DL,JAX,33,9,7.59,0.63,0.79,0.00,0.00,0.00
Demarcus Robinson,WR,SF,32,9,6.87,0.74,0.77,0.00,0.00,0.00
Antonio Hamilton,DB,WAS,33,9,5.39,0.57,1.02,0.00,0.00,0.00
Mike Hilton,DB,IND,32,9,7.67,0.72,0.67,0.00,0.00,0.00
Robert Tonyan,TE,KC,32,8,4.38,0.56,0.85,0.00,0.00,0.00
Markees Watts,LB,TB,27,2,4.42,0.46,1.00,0.00,0.00,0.00
Christian Elliss,LB,NE,27,4,5.98,0.57,0.63,0.00,0.00,0.00
Jacob Hollister,TE,CAR,33,7,3.75,0.74,0.46,0.00,0.00,0.00
Breon Borders,DB,NE,31,6,4.94,0.74,0.45,0.00,0.00,0.00
Tyler Lacy,DL,DET,27,2,3.49,0.54,0.79,0.00,0.00,0.00
Benardrick McKinney,LB,NYG,34,6,4.05,0.79,0.92,0.00,0.00,0.00
Feleipe Franks,TE,ATL,29,4,2.37,0.46,0.83,0.00,0.00,0.00
Benjamin St-Juste,DB,LAC,29,4,6.80,0.77,0.72,0.00,0.00,0.00
Dyami Brown,WR,JAX,27,4,5.35,0.66,1.02,0.00,0.00,0.00
Camryn Bynum,DB,IND,28,4,8.21,0.85,0.71,0.00,0.00,0.00
Tylan Wallace,WR,BAL,27,4,3.34,0.48,1.35,0.00,0.00,0.00
Noah Gray,TE,KC,27,4,4.38,0.78,0.79,0.00,0.00,0.00
Tedarrell Slaton,DL,CIN,29,4,3.90,0.71,0.99,0.00,0.00,0.00
Luke Farrell,TE,SF,29,4,2.73,0.56,0.72,0.00,0.00,0.00
Nick Niemann,LB,GB,29,4,3.32,0.47,1.03,0.00,0.00,0.00
Chris Moore,WR,WAS,33,9,5.17,0.72,0.79,0.00,0.00,0.00
DJ Reader,DL,DET,32,9,4.63,0.66,0.99,0.00,0.00,0.00
Marcus Mariota,QB,WAS,33,10,14.03,0.51,0.73,0.00,0.00,0.00
